node,hopcount,latency,power,deploymentPenalty,cost
0,5,623,432.5,1,40
32,6,725,731.5,1,40
65,6,680,504.5,40,40
2,6,642,628.5,1,40
35,6,701,571.5,40,40
4,5,541,724.0,1,40
6,5,657,541.5,1,40
103,6,681,367.0,40,1
109,6,751,579.0,40,1
14,6,743,591.5,1,40
15,6,669,672.0,40,40
20,6,731,502.5,1,40
110,4,509,543.0,1,1
100,6,663,304.5,1,1
1,6,684,537.0,40,40
96,6,805,679.5,1,40
3,6,647,480.0,40,40
102,6,779,595.0,1,1
41,7,836,535.0,40,40
11,7,760,467.5,40,40
80,6,655,465.5,1,40
50,7,840,447.5,1,40
51,7,776,704.5,40,40
52,7,765,610.0,1,40
111,6,749,486.0,40,1
75,7,858,519.5,40,40
5,5,585,680.5,40,40
39,7,788,413.5,40,40
72,7,684,620.0,1,40
73,6,829,479.5,40,40
107,7,716,413.0,40,1
47,7,778,522.5,40,40
83,7,704,551.5,40,40
87,7,710,524.5,40,40
90,7,748,549.5,1,40
92,6,689,479.5,1,40
63,7,822,490.5,40,40
7,6,552,629.0,40,40
104,6,635,384.5,1,1
76,6,727,291.0,1,40
44,6,754,624.5,1,40
112,5,591,554.5,1,1
48,7,777,474.5,1,40
29,7,673,591.0,40,40
94,7,733,484.0,1,40
97,6,561,538.5,40,40
67,6,701,531.5,40,40
70,6,649,315.5,1,40
8,6,587,391.0,1,40
16,6,657,514.5,1,40
82,6,657,398.5,1,40
86,6,766,618.5,1,40
88,6,577,468.5,1,40
60,6,577,439.5,1,40
61,5,641,551.5,40,40
101,5,661,524.0,40,1
12,6,667,585.5,1,40
13,6,749,657.0,40,40
25,6,763,530.5,40,40
26,6,697,548.5,1,40
28,6,715,638.5,1,40
30,6,721,636.5,1,40
34,6,685,391.0,1,40
55,6,723,393.0,40,40
89,6,729,720.5,40,40
91,6,715,672.5,40,40
93,6,852,506.5,40,40
95,6,637,626.5,40,40
108,6,721,439.5,1,1
17,6,809,353.0,40,40
21,6,831,708.0,40,40
38,6,777,564.5,1,40
40,6,803,544.5,1,40
45,6,835,545.5,40,40
